Matéria,7h30-9h30,9h30-11h30,13h30-15h30,15h30-17h30,17h30-19h30,19h30-21h30,21h30-23h30
Álgebra Linear A,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear B,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear C,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear D,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear E,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear F,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear G,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear H,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear I,0,0,0,0,2,0,0
,0,0,0,0,0,0,0
,0,0,0,0,2,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear J,0,0,0,0,2,0,0
,0,0,0,0,0,0,0
,0,0,0,0,2,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Álgebra Linear K,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,2,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
Álgebra Linear L,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,2,0
Cálculo I,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
Cálculo I,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,2,0,0,0,0
Cálculo I,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
Cálculo I,0,0,0,0,0,2,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
,0,0,0,0,0,2,0
,0,0,0,0,0,0,0
Cálculo I,0,0,0,0,0,2,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
,0,0,0,0,0,0,0
,0,0,0,0,0,2,0
Cálculo II,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
Cálculo II,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
,0,0,0,0,0,0,0
,2,0,0,0,0,0,0
Cálculo II,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
Cálculo II,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
Cálculo II,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
Cálculo II,0,0,0,0,0,0,2
,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
CM042G,0,0,0,0,0,0,0
,0,0,0,0,0,2,2
,0,0,0,0,0,0,0
,0,0,0,0,0,2,2
,0,0,0,0,0,0,0
Cálculo III,0,0,0,0,0,0,0
,0,2,0,0,0,0,0
,0,0,0,0,0,0,0
,0,2,0,0,0,0,0
,0,0,0,0,0,0,0
Cálculo III,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
,0,0,2,0,0,0,0
,0,0,0,0,0,0,0
Cálculo III,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
,0,0,0,0,0,0,0
,0,0,0,0,0,2,0
,0,0,0,0,0,0,0
Cálculo IV,0,0,0,0,0,0,0
,0,2,0,0,0,0,0
,0,0,0,0,0,0,0
,0,2,0,0,0,0,0
,0,0,0,0,0,0,0
Cálculo IV,0,0,0,0,0,0,0
,0,0,0,0,0,0,2
,0,0,0,0,0,0,0
,0,0,0,0,0,2,0
